Gold
Date,Open,High,Low,Close,Volume,Adjacent close
2015-09-17,57.959999,60.310001,57.150002,59.279999,1311500,58.856847
2015-09-16,56.950001,58.82,56.73,58.73,896200,58.310773
2015-09-15,55.34,56.119999,55.139999,55.549999,733600,55.153473
2015-09-14,56.139999,56.360001,54.880001,55.52,1219100,55.123688
2015-09-11,57.110001,58.099998,55.82,57.84,1106100,57.427127
2015-09-10,56.990002,57.619999,56.099998,56.490002,695400,56.086765
2015-09-09,57.450001,57.98,56.049999,56.290001,854500,55.888192
2015-09-08,57.169998,57.849998,56.52,56.970001,729200,56.563338
2015-09-04,57.119999,57.68,55.66,57.150002,1196100,56.742054
2015-09-03,58.75,60.580002,58.32,58.560001,811700,58.141989
2015-09-02,59.790001,60.029999,58.169998,59.189999,689700,58.767489
2015-09-01,60.279999,61.200001,59.130001,59.310001,803900,58.886635
2015-08-31,60.130001,60.549999,59.00,60.290001,516500,59.859639
2015-08-28,59.880001,61.950001,59.830002,61.240002,901700,60.802859
2015-08-27,58.900002,61.34,58.68,60.73,1038600,60.296497
2015-08-26,60.779999,60.849998,58.279999,58.75,1169200,58.330631
2015-08-25,64.940002,65.080002,61.610001,61.830002,1300700,61.388647
2015-08-24,65.019997,66.230003,62.200001,62.450001,1463400,62.004221
2015-08-21,67.50,68.120003,65.370003,65.75,1437200,65.280664
2015-08-20,66.040001,67.379997,65.419998,66.660004,1409600,66.184172
2015-08-19,62.07,63.869999,62.07,63.189999,827700,62.738936
2015-08-18,62.049999,62.709999,61.419998,62.41,497700,61.964505
2015-08-17,62.599998,63.150002,61.709999,62.869999,551900,62.421221
2015-08-14,62.650002,63.419998,61.549999,62.02,606800,61.57729
2015-08-13,63.389999,63.540001,61.57,61.950001,922400,61.50779
2015-08-12,63.740002,65.43,63.150002,65.25,1342900,64.784233
2015-08-11,62.700001,62.98,61.029999,62.25,936300,61.805648
2015-08-10,59.700001,62.00,59.27,61.900002,1038200,61.458147
2015-08-07,59.619999,61.16,59.610001,60.259998,752100,59.829851
2015-08-06,59.549999,61.27,58.990002,60.049999,789300,59.621351
2015-08-05,60.549999,60.810001,58.93,59.110001,785800,58.688062
2015-08-04,59.639999,60.23,58.099998,58.619999,645400,58.201558
2015-08-03,59.09,59.200001,57.849998,58.419998,597800,58.002985
2015-07-31,60.290001,60.84,59.779999,60.369999,496800,59.939066
2015-07-30,59.23,59.75,58.369999,59.02,654400,58.598704
2015-07-29,59.09,60.93,58.799999,60.540001,924500,60.107855
2015-07-28,58.200001,59.52,58.200001,58.98,668300,58.558989
2015-07-27,58.900002,59.669998,57.060001,57.59,1204200,57.178912
2015-07-24,58.990002,61.130001,57.630001,60.450001,1351500,60.018497
2015-07-23,60.700001,60.939999,57.849998,58.310001,998900,57.893773
2015-07-22,58.939999,60.630001,58.610001,60.23,903500,59.800066
2015-07-21,59.990002,61.41,59.240002,59.889999,1047900,59.462493
2015-07-20,59.990002,60.049999,58.299999,58.560001,1457400,58.141989
2015-07-17,63.130001,63.150002,61.700001,61.880001,627500,61.43829
2015-07-16,63.900002,63.900002,63.349998,63.48,358000,63.026867
2015-07-15,64.129997,64.449997,63.349998,63.529999,509600,63.076509
2015-07-14,64.970001,65.650002,64.580002,64.639999,356300,64.178587
2015-07-13,63.98,65.169998,63.779999,65.080002,611100,64.615448
2015-07-10,64.830002,64.900002,63.810001,64.160004,557100,63.702017
2015-07-09,65.199997,65.349998,64.040001,64.410004,462100,63.950233
2015-07-08,65.00,65.360001,64.080002,64.169998,433800,63.71194
2015-07-07,65.089996,65.150002,63.82,64.150002,647900,63.692086
2015-07-06,66.040001,67.620003,65.830002,67.00,485000,66.521741
2015-07-02,65.809998,66.669998,65.540001,66.550003,433800,66.074956
2015-07-01,66.040001,66.220001,64.550003,65.029999,550400,64.565802
2015-06-30,67.849998,68.089996,66.900002,66.949997,697500,66.472095
2015-06-29,69.459999,69.93,68.660004,68.690002,346500,68.19968
2015-06-26,69.25,69.449997,68.779999,68.910004,366500,68.418111
2015-06-25,70.099998,70.599998,69.709999,69.739998,300800,69.24218
2015-06-24,70.00,70.699997,69.800003,70.50,392300,69.996757
2015-06-23,69.360001,70.190002,69.220001,69.580002,293900,69.083326
2015-06-22,69.82,70.540001,69.639999,70.089996,489700,69.58968
2015-06-19,71.529999,71.870003,70.230003,70.32,609700,69.818042
2015-06-18,72.290001,72.669998,71.629997,72.160004,590300,71.644912
2015-06-17,70.220001,71.550003,69.43,71.279999,510900,70.771188
2015-06-16,70.610001,70.889999,70.150002,70.419998,419800,69.917327
2015-06-15,71.360001,72.43,71.230003,71.510002,372900,70.99955
2015-06-12,71.150002,72.00,70.699997,71.470001,323100,70.959835
2015-06-11,72.459999,72.480003,71.769997,72.239998,612300,71.724335
2015-06-10,72.860001,72.910004,72.019997,72.419998,588900,71.90305
2015-06-09,71.349998,71.589996,70.370003,70.580002,525800,70.076188
2015-06-08,70.400002,70.779999,70.010002,70.699997,390600,70.195327
2015-06-05,69.220001,70.260002,68.830002,69.889999,469000,69.391111
2015-06-04,70.949997,71.260002,70.419998,71.00,431500,70.493188
2015-06-03,72.790001,73.440002,71.32,71.440002,637700,70.93005
2015-06-02,72.209999,73.690002,72.139999,73.139999,447500,72.617912
2015-06-01,72.25,73.160004,71.620003,72.25,457300,71.734266
2015-05-29,72.589996,73.199997,71.959999,72.230003,357600,71.714412
2015-05-28,71.199997,72.279999,70.949997,72.169998,322700,71.654835
2015-05-27,70.839996,71.75,70.57,71.57,345500,71.059119
2015-05-26,71.730003,71.800003,70.559998,70.959999,599100,70.453473
2015-05-22,74.269997,74.540001,73.389999,73.57,377500,73.044843
2015-05-21,74.129997,74.220001,73.510002,73.949997,303000,73.422128
2015-05-20,74.379997,74.910004,73.980003,74.129997,341900,73.600843
2015-05-19,75.050003,75.529999,73.629997,73.769997,607500,73.243412
2015-05-18,77.360001,77.489998,75.980003,76.349998,436600,75.804997
2015-05-15,76.010002,76.919998,75.769997,76.169998,507600,75.626282
2015-05-14,77.440002,77.790001,76.150002,76.589996,583900,76.043282
2015-05-13,75.940002,76.830002,75.830002,76.440002,921400,75.894359
2015-05-12,73.910004,74.589996,73.510002,74.00,498100,73.471774
2015-05-11,73.279999,73.830002,72.889999,73.419998,401300,72.895912
2015-05-08,74.239998,74.239998,72.790001,73.349998,455000,72.826412
2015-05-07,73.150002,73.800003,72.089996,73.739998,655900,73.213628
2015-05-06,75.32,75.32,73.739998,73.989998,770500,73.461843
2015-05-05,77.540001,77.650002,74.550003,75.059998,713200,74.524205
2015-05-04,77.129997,77.199997,75.699997,76.150002,250600,75.606428
2015-05-01,75.330002,76.110001,75.040001,75.790001,408600,75.248997
2015-04-30,76.349998,76.50,75.589996,76.169998,537100,75.626282
2015-04-29,77.709999,78.900002,76.830002,77.959999,1042900,77.403506
2015-04-28,75.75,77.580002,75.75,77.389999,872600,76.837575
2015-04-27,74.459999,76.220001,74.010002,74.239998,1011400,73.710058
2015-04-24,75.690002,76.120003,74.419998,74.550003,586600,74.017851
2015-04-23,74.959999,76.43,74.800003,76.089996,448800,75.546851
2015-04-22,75.300003,75.339996,73.93,74.199997,649000,73.670343
2015-04-21,74.769997,75.82,74.370003,75.339996,402600,74.802205
2015-04-20,74.989998,75.50,74.470001,75.389999,427200,74.851851
2015-04-17,75.059998,76.209999,74.290001,74.650002,598800,74.117135
2015-04-16,76.099998,76.699997,74.940002,75.370003,764000,74.831997
2015-04-15,73.480003,74.709999,73.099998,74.419998,988200,73.888774
2015-04-14,72.040001,73.199997,71.830002,72.610001,724800,72.091696
2015-04-13,71.370003,71.660004,70.849998,71.209999,470100,70.701688
2015-04-10,71.050003,71.57,70.760002,71.190002,460600,70.681834
2015-04-09,69.489998,70.360001,69.360001,69.760002,420600,69.262042
2015-04-08,71.300003,71.550003,69.739998,70.279999,579200,69.778327
2015-04-07,71.110001,71.690002,70.529999,70.779999,522000,70.274758
2015-04-06,72.790001,73.50,71.480003,72.059998,515000,71.545619
2015-04-02,71.910004,72.489998,70.529999,70.93,601300,70.423688
2015-04-01,69.739998,72.32,69.669998,71.510002,890400,70.99955
2015-03-31,70.349998,70.459999,69.050003,69.269997,740100,68.775534
2015-03-30,71.099998,71.870003,70.559998,70.910004,624600,70.403834
2015-03-27,71.010002,71.75,69.900002,70.959999,703600,70.453473
2015-03-26,73.18,73.699997,70.370003,71.010002,919500,70.503119
2015-03-25,73.32,73.639999,71.550003,71.709999,513500,71.198119
2015-03-24,73.110001,73.260002,72.260002,72.589996,498400,72.071835
2015-03-23,72.900002,73.839996,72.760002,73.379997,811300,72.856197
2015-03-20,72.059998,73.370003,71.75,72.18,1888400,71.664766
2015-03-19,70.910004,71.279999,69.910004,70.580002,734200,70.076188
2015-03-18,68.50,71.43,68.059998,70.709999,890300,70.205257
2015-03-17,68.470001,69.739998,68.089996,68.629997,850600,68.140103
2015-03-16,68.629997,69.50,67.980003,68.75,722900,68.259249
2015-03-13,68.309998,68.43,66.879997,68.290001,1024500,67.802534
2015-03-12,69.419998,69.879997,68.349998,69.029999,872500,68.537249
2015-03-11,67.169998,69.629997,66.449997,69.50,986500,68.408176
2015-03-10,68.089996,68.75,66.82,67.160004,914300,66.10494
2015-03-09,70.080002,70.18,68.330002,68.529999,972500,67.453413
2015-03-06,70.269997,70.440002,68.550003,69.25,1535900,68.162103
2015-03-05,73.209999,74.699997,73.019997,73.519997,647800,72.36502
2015-03-04,74.75,75.07,72.889999,73.709999,1420800,72.552037
2015-03-03,77.709999,78.309998,76.139999,76.389999,677100,75.189936
2015-03-02,79.00,79.330002,77.220001,77.870003,724200,76.646689
2015-02-27,79.150002,80.209999,78.970001,79.190002,508300,77.945951
2015-02-26,79.839996,80.040001,78.730003,79.00,471100,77.758934
2015-02-25,77.660004,79.339996,77.419998,78.730003,823300,77.493179
2015-02-24,76.150002,77.68,75.860001,76.720001,578100,75.514753
2015-02-23,75.529999,76.470001,75.120003,76.040001,639400,74.845435
2015-02-20,77.230003,77.910004,76.099998,76.110001,631900,74.914335
2015-02-19,78.940002,79.120003,76.410004,76.900002,738400,75.691926
2015-02-18,76.099998,78.730003,76.059998,78.290001,905600,77.060089
2015-02-17,77.260002,77.489998,76.160004,76.489998,754400,75.288363
2015-02-13,78.620003,79.160004,77.959999,78.300003,448400,77.069934
2015-02-12,78.379997,79.110001,77.540001,78.599998,739200,77.365216
2015-02-11,79.080002,79.139999,77.639999,78.160004,671100,76.932134
2015-02-10,80.110001,80.699997,78.50,79.239998,1173200,77.995161
2015-02-09,82.080002,82.720001,81.580002,82.260002,860300,80.967722
2015-02-06,82.559998,82.650002,80.519997,81.18,1132600,79.904687
